Geneid	HSC_20d_IL1_3	HSC_20d_IL1_4	HSC_20d_ctrl_3	HSC_20d_ctrl_4	HSC_20d_ctrl_1_E061316	HSC_20d_ctrl_2_E061316	HSC_20d_IL1_1_E061316	HSC_20d_IL1_2_E061316
1500012K07Rik	0	0	0	0	0	0	0	0
1500015A07Rik	66	109	139	108	86	106	117	192
1500015L24Rik	0	0	0	0	0	0	0	0
1500015O10Rik	3	3	0	2	3	0	5	0
1500017E21Rik	0	0	0	0	0	0	0	0
1500026H17Rik	13	33	34	54	29	12	15	26
1500035N22Rik	2	6	7	5	5	2	0	9
1520401A03Rik	7	0	1	1	3	0	0	0
1600002D24Rik	0	0	0	0	0	0	0	0
1600002H07Rik	253	406	337	355	310	302	384	502
1600002K03Rik	148	199	178	261	154	200	202	264
1600010M07Rik	3	0	0	0	4	0	0	0
1600012H06Rik	434	583	426	397	458	373	634	497
1600014C10Rik	1065	1510	1921	1110	1348	1701	1925	1922
1600014C23Rik	0	0	0	2	0	0	0	0
1600015I10Rik	0	0	0	0	0	0	0	0
1600019K03Rik	0	0	0	0	0	0	0	0
1600020E01Rik	779	810	681	645	425	421	470	688
1600023N17Rik	15	31	22	26	10	25	28	9
1600025M17Rik	0	0	0	0	0	0	0	0
1600027J07Rik	0	0	0	0	0	0	0	0
1600029I14Rik	0	0	0	0	2	2	8	0
1600029O15Rik	0	0	0	0	0	1	1	0
1700001C02Rik	0	0	0	0	0	0	0	0
1700001C19Rik	152	160	142	203	109	110	121	120
1700001D01Rik	7	0	0	0	2	0	0	0
1700001F09Rik	0	0	0	0	0	0	0	0
1700001G01Rik	0	0	0	0	0	0	0	0
1700001G11Rik	11	13	32	12	2	8	7	38
1700001G17Rik	29	12	46	14	9	7	25	24
1700001J03Rik	1	0	3	0	0	0	0	0
1700001J11Rik	0	0	0	0	0	0	0	0
1700001K19Rik	16	7	5	16	15	12	31	4
1700001K23Rik	2	0	0	0	0	0	0	2
1700001L05Rik	26	29	179	63	169	142	52	48
1700001L19Rik	0	0	0	5	1	3	0	3
1700001O22Rik	35	31	44	70	25	43	70	36
1700001P01Rik	2	0	0	0	1	0	0	0
1700003C15Rik	0	0	0	0	0	0	0	0
1700003D09Rik	0	0	0	0	0	0	0	0
1700003E16Rik	44	34	91	57	64	127	60	24
1700003E24Rik	0	0	0	0	0	0	0	0
1700003F12Rik	4	6	3	3	1	0	1	0
1700003G13Rik	0	0	0	0	0	0	0	0
1700003G18Rik	1	0	0	0	1	1	0	0
1700003H04Rik	0	0	0	0	0	0	0	0
1700003I22Rik	0	0	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0	0	0
1700003M07Rik	0	0	0	0	0	0	0	0
1700003P14Rik	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	0	0	0
1700006F04Rik	0	0	0	0	0	0	0	0
1700006H20Rik	0	0	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0	0	0
1700007B14Rik	1	0	0	5	1	0	0	0
1700007E05Rik	0	0	0	0	0	0	0	0
1700007F19Rik	0	0	0	0	0	0	0	0
1700007G11Rik	0	1	0	0	0	0	0	0
1700007J10Rik	9	4	10	4	9	3	1	0
1700007K09Rik	0	0	0	0	0	0	0	0
1700007K13Rik	0	0	0	0	0	0	0	0
1700007L15Rik	65	62	64	63	54	73	86	56
1700007P06Rik	0	0	0	0	0	0	0	0
1700008C04Rik	0	0	0	0	0	0	0	0
1700008J07Rik	100	154	127	122	120	122	153	201
1700008K24Rik	0	0	0	0	0	0	0	0
1700008O03Rik	79	85	60	86	66	78	51	94
1700008P02Rik	0	0	0	0	0	0	0	0
1700009C05Rik	0	0	0	0	0	0	0	0
1700009J07Rik	0	0	0	0	0	0	0	0
1700009N14Rik	0	0	1	0	0	0	0	0
1700010B08Rik	0	0	0	0	0	0	0	0
1700010D01Rik	0	0	0	0	0	1	2	0
1700010I02Rik	0	0	0	0	0	0	0	0
1700010I14Rik	79	91	20	33	12	21	44	89
1700010J16Rik	0	0	0	0	0	0	0	0
1700010K23Rik	0	0	0	0	0	0	0	0
1700010L04Rik	11	11	2	0	6	2	13	8
1700010N08Rik	0	0	0	0	0	0	0	0
1700011B04Rik	0	0	0	0	0	0	0	0
1700011C11Rik	0	0	0	0	0	0	0	0
1700011E24Rik	0	0	0	0	3	0	0	0
1700011H14Rik	3	0	0	0	0	0	1	0
1700011I03Rik	0	0	0	0	0	0	0	0
1700011L22Rik	0	0	0	0	0	0	0	0
1700011M02Rik	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	0	0	0	0
1700012B09Rik	0	0	0	0	0	0	0	0
1700012C14Rik	4	7	5	13	4	16	3	16
1700012D01Rik	47	78	58	66	52	55	58	63
1700012D14Rik	20	33	33	19	21	15	37	7
1700012D16Rik	0	0	2	0	1	0	0	0
1700012H19Rik	0	0	0	0	0	0	0	0
1700012I11Rik	3	9	5	4	3	14	19	10
1700012J15Rik	0	0	0	0	0	0	0	0
1700012L04Rik	2	4	0	1	0	5	2	1
1700012P22Rik	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0
1700013F07Rik	0	2	0	0	0	0	0	0
1700013G24Rik	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	1	0	0	0
1700013N06Rik	0	0	0	0	0	0	0	0
1700015C15Rik	0	0	0	0	0	2	0	2
1700015E13Rik	37	33	12	20	39	18	25	1
1700015F17Rik	1	0	0	0	2	3	0	0
1700015G11Rik	0	0	0	0	0	0	0	0
1700016A09Rik	4	9	17	8	7	7	7	9
1700016B01Rik	0	0	0	0	0	0	0	0
1700016C15Rik	6	1	3	0	0	1	0	0
1700016C19Rik	0	0	0	0	0	0	0	0
1700016D06Rik	0	1	0	0	0	0	0	0
1700016G14Rik	6	6	0	2	2	2	0	3
1700016G22Rik	0	0	3	0	0	0	0	0
1700016H13Rik	1	0	2	0	0	0	0	0
1700016J18Rik	11	13	9	14	13	2	2	13
1700016K19Rik	6	0	10	0	2	0	6	0
1700016L04Rik	0	0	0	0	0	0	2	0
1700016L21Rik	0	0	0	0	0	0	0	0
1700016P04Rik	0	0	0	0	0	0	0	0
1700017B05Rik	3268	3183	3807	2867	2566	2796	2508	2637
1700017D01Rik	0	0	0	0	0	0	0	0
1700017G19Rik	0	0	0	0	0	0	0	0
1700017J07Rik	11	0	13	9	9	4	0	6
1700017L05Rik	0	0	0	0	0	0	0	0
1700017M07Rik	0	0	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0	0	0
1700018A04Rik	0	0	0	0	0	0	0	0
1700018A23Rik	0	2	0	0	6	0	0	3
1700018B08Rik	0	0	0	0	0	0	0	0
1700018B24Rik	0	0	0	0	0	0	0	0
1700018C11Rik	0	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0	0
1700018G05Rik	3	0	0	0	4	1	0	0
1700018L02Rik	26	44	43	6	16	20	36	27
1700019A02Rik	1	0	0	0	0	0	0	0
1700019B03Rik	6	0	1	6	2	6	4	0
1700019B21Rik	0	0	0	0	0	0	0	0
1700019C18Rik	0	0	0	0	0	0	0	0
1700019D03Rik	33	47	69	38	46	47	39	49
1700019E08Rik	0	0	0	0	0	0	0	0
1700019F05Rik	0	0	0	0	0	0	0	0
1700019G24Rik	0	0	1	0	2	0	6	0
1700019J19Rik	0	1	1	0	0	0	0	0
1700019L22Rik	0	0	0	0	0	1	0	0
1700019M22Rik	0	0	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0	0	0
1700019O17Rik	0	0	0	0	0	0	0	0
1700019P21Rik	0	0	0	0	0	0	0	0
1700020A23Rik	1	0	0	0	6	0	0	0
1700020D05Rik	3	2	5	0	5	0	2	0
1700020D12Rik	0	0	0	0	0	0	0	0
1700020D14Rik	0	0	0	0	0	0	0	0
1700020G17Rik	0	0	0	0	0	0	0	0
1700020I14Rik	1057	1153	1259	886	1083	1406	1462	1609
1700020L24Rik	22	32	6	9	9	18	20	29
1700020M21Rik	0	0	0	3	0	0	0	1
1700020N01Rik	0	0	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	1	0	1
1700020N18Rik	1	8	6	10	7	9	14	8
1700021F02Rik	0	0	0	0	0	0	0	0
1700021F05Rik	494	481	526	519	382	470	506	567
1700021F07Rik	0	0	0	0	0	0	0	0
1700021L23Rik	0	0	0	0	0	0	0	0
1700021N21Rik	0	7	0	0	0	0	0	1
1700022A21Rik	0	0	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	0	0	0
1700022H01Rik	0	0	0	0	0	7	0	6
1700022H16Rik	0	0	0	0	0	0	0	0
1700022I11Rik	0	0	1	1	0	21	0	0
1700022N22Rik	27	10	25	28	20	7	32	28
1700023C21Rik	0	0	0	0	0	0	0	1
1700023F02Rik	0	0	0	0	0	2	0	0
1700023F06Rik	0	0	2	0	0	0	0	0
1700023G09Rik	0	0	0	0	0	0	0	0
1700024B05Rik	0	0	0	0	0	0	0	0
1700024B18Rik	0	0	0	0	0	0	0	0
1700024F13Rik	7	7	0	12	25	15	4	1
1700024G13Rik	0	0	0	0	0	0	0	0
1700024I08Rik	0	0	0	0	0	0	0	0
1700024N05Rik	0	0	0	0	0	0	0	0
1700024P04Rik	0	0	0	0	0	0	0	0
1700024P16Rik	25	0	549	78	10	60	0	14
1700025B11Rik	0	0	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0	0	0
1700025D23Rik	0	0	0	0	0	0	0	0
1700025F22Rik	0	0	0	0	0	0	0	0
1700025F24Rik	0	0	0	0	0	0	0	0
1700025G04Rik	929	1012	1114	908	873	892	1430	1259
1700025J12Rik	0	1	0	0	0	0	0	0
1700025K04Rik	0	0	0	0	0	0	0	0
1700025K24Rik	0	0	0	0	0	0	0	0
1700025M24Rik	0	0	0	5	0	0	0	0
1700025N23Rik	18	29	50	31	16	1	18	4
1700026D11Rik	0	0	0	0	0	1	0	0
1700026F02Rik	0	0	0	0	0	0	0	0
1700026J12Rik	0	8	0	0	0	0	0	0
1700026J14Rik	0	0	0	0	0	0	0	0
1700027A15Rik	0	0	0	0	0	0	0	0
1700027F06Rik	0	0	0	0	0	0	0	0
1700027F09Rik	0	0	0	0	0	1	0	0
1700027H10Rik	0	0	0	0	0	0	0	0
1700027I24Rik	0	0	0	0	0	0	0	0
1700027J07Rik	0	0	0	0	0	0	0	0
1700028B04Rik	0	0	0	0	0	0	0	0
1700028D13Rik	0	0	0	0	0	0	0	0
1700028E10Rik	31	21	42	11	24	15	14	10
1700028I16Rik	0	7	0	7	4	0	0	0
1700028J19Rik	27	32	38	39	34	26	39	27
1700028K03Rik	4	23	18	7	17	5	5	5
1700028M03Rik	0	0	0	0	0	0	0	0
1700028P14Rik	0	0	0	0	0	0	0	0
1700028P15Rik	0	0	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0	0	0
1700029F12Rik	0	0	0	1	0	0	0	0
1700029H14Rik	2	8	5	0	4	0	0	0
1700029I15Rik	39	63	44	46	27	28	22	19
1700029J03Rik	0	0	0	0	0	0	0	0
1700029J07Rik	282	272	268	285	150	144	214	132
1700029M03Rik	0	0	0	0	0	0	0	0
1700029M20Rik	0	0	0	0	0	0	0	0
1700029N11Rik	0	0	0	0	0	0	1	0
1700029P11Rik	0	0	0	0	0	0	0	0
1700030A11Rik	0	0	0	0	0	0	2	0
1700030C10Rik	28	11	24	38	20	8	15	23
1700030C12Rik	10	13	9	3	6	1	10	4
1700030C14Rik	0	0	0	0	0	0	0	0
1700030F04Rik	0	0	0	0	0	0	0	0
1700030F18Rik	0	0	0	0	0	0	0	0
1700030J22Rik	8	32	16	20	34	22	29	61
1700030K09Rik	674	676	859	629	769	971	861	932
1700030L20Rik	0	0	0	0	0	0	0	0
1700030L22Rik	0	0	0	0	0	0	4	0
1700030M09Rik	0	0	0	0	0	0	0	0
1700030N03Rik	0	0	0	0	0	0	0	0
1700030O20Rik	0	0	0	0	0	0	0	0
1700031A10Rik	0	0	0	0	0	0	0	0
1700031F05Rik	0	0	0	0	0	0	0	0
1700031L13Rik	0	0	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0	0	0
1700031P21Rik	2	3	2	0	4	1	0	0
1700034B16Rik	0	0	0	0	0	0	0	0
1700034E13Rik	0	0	2	0	0	0	0	0
1700034G24Rik	0	0	0	0	0	0	0	0
1700034H15Rik	0	0	0	0	0	0	0	0
1700034I23Rik	5	2	3	0	6	4	0	3
1700034J05Rik	10	2	1	0	0	0	0	0
1700034K08Rik	0	0	0	0	0	0	0	0
1700034O15Rik	0	0	0	0	0	0	0	0
1700034P13Rik	5	11	14	9	15	14	16	13
1700036A12Rik	0	0	0	0	0	0	0	0
1700036G14Rik	0	0	0	0	0	0	0	0
1700037C18Rik	152	160	202	133	126	110	122	112
1700037H04Rik	1079	1127	1662	1424	1166	1367	1527	1497
1700039E15Rik	0	1	1	0	0	0	0	0
1700039E22Rik	0	0	0	2	0	0	0	0
1700039I01Rik	0	0	0	0	0	0	0	0
1700039M10Rik	10	0	5	0	8	2	6	0
1700040D17Rik	6	4	18	13	17	21	24	25
1700040G22Rik	0	0	0	0	0	0	0	0
1700040L02Rik	228	375	406	278	271	333	467	476
1700041A01Rik	0	0	0	0	0	0	0	0
1700041B01Rik	0	0	0	0	0	0	0	0
1700041C23Rik	0	0	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	0	0	0
1700042G07Rik	0	0	0	0	0	0	0	0
1700042G15Rik	0	0	0	0	0	0	0	0
1700042O10Rik	0	0	0	0	0	0	0	0
1700044C05Rik	0	0	0	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0	0	0
1700045H11Rik	0	0	0	0	0	0	0	0
1700046C09Rik	0	0	0	0	0	0	0	0
1700047A11Rik	7	2	2	5	5	1	4	4
1700047E10Rik	0	0	0	0	0	0	0	0
1700047G03Rik	0	0	0	0	1	0	0	0
1700047I17Rik2	0	0	0	0	2	0	0	0
1700047L14Rik	0	0	0	0	0	0	0	0
1700047M11Rik	6	0	0	0	0	0	0	0
1700048B10Rik	0	0	0	0	0	0	0	0
1700048F04Rik	0	0	0	0	0	0	0	0
1700048M11Rik	5	6	5	0	11	3	6	3
1700048O14Rik	0	0	0	0	0	0	0	0
1700048O20Rik	121	161	117	202	53	107	134	196
1700049E15Rik	0	0	0	0	0	0	0	0
1700049E17Rik1	0	0	0	0	0	0	0	0
1700049E17Rik2	0	0	0	0	0	0	0	0
1700049E22Rik	0	0	0	0	0	0	0	0
1700049G17Rik	138	158	99	171	89	197	232	127
1700049J03Rik	25	25	23	23	28	9	18	11
1700049L16Rik	0	0	0	0	0	0	0	0
1700051A21Rik	0	0	0	0	0	0	0	0
1700052H01Rik	0	0	0	0	0	0	0	0
1700052I22Rik	0	0	0	0	0	0	0	0
1700052K11Rik	157	236	201	209	117	179	209	228
1700054A03Rik	0	0	0	0	0	0	0	0
1700054K19Rik	0	0	0	0	0	0	0	0
1700054M17Rik	3	1	4	11	7	3	5	2
1700054O19Rik	0	0	0	0	0	0	0	0
1700055C04Rik	0	0	0	0	0	0	0	0
1700055D18Rik	21	41	46	31	35	28	18	14
1700056E22Rik	24	31	34	35	11	29	32	18
1700057G04Rik	0	0	0	0	0	0	0	0
1700057H15Rik	0	0	0	0	0	0	0	0
1700057H21Rik	0	0	0	0	0	0	0	0
1700060C16Rik	0	0	0	0	0	0	0	0
1700060C20Rik	0	0	0	0	0	0	0	0
1700061F12Rik	0	0	0	0	0	0	0	0
1700061G19Rik	14	11	39	7	8	12	18	5
1700061I17Rik	0	0	0	0	0	0	0	0
1700061J23Rik	0	0	0	0	0	0	0	0
1700062C10Rik	0	0	0	0	0	0	0	0
1700063A18Rik	0	0	0	0	0	0	0	0
1700063D05Rik	0	0	0	0	0	0	0	0
1700063H04Rik	0	0	0	0	0	0	0	0
1700063H06Rik	0	0	0	0	0	0	0	0
1700063O14Rik	0	0	0	0	0	0	0	0
1700064F23Rik	0	0	0	1	0	0	0	0
1700064J06Rik	0	0	0	0	0	0	0	0
1700064M15Rik	0	0	1	5	0	0	0	0
1700065D16Rik	9	6	11	10	6	0	9	6
1700065I16Rik	0	0	0	0	0	0	0	0
1700065J11Rik	0	0	0	0	0	0	0	0
1700065J18Rik	0	0	0	0	0	0	0	0
1700065L07Rik	0	0	0	0	0	0	0	0
1700065O20Rik	0	0	0	0	0	0	0	0
1700066B17Rik	0	0	0	0	0	0	0	0
1700066B19Rik	59	69	86	77	59	85	105	116
1700066C05Rik	0	0	0	0	0	0	0	0
1700066J03Rik	2	3	3	10	2	0	1	3
1700066M21Rik	313	375	508	209	416	506	506	567
1700066N21Rik	0	0	0	0	0	0	0	0
1700066O22Rik	0	0	0	0	0	0	0	0
1700067G17Rik	5	9	17	7	7	3	8	16
1700067K01Rik	11	19	24	11	3	9	14	6
1700067P10Rik	0	0	0	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	0	0	0
1700069P05Rik	0	0	0	0	0	0	0	0
1700071G01Rik	0	0	0	0	1	0	0	0
1700071K01Rik	0	0	0	0	0	0	3	0
1700071M16Rik	1	4	0	0	0	0	0	0
1700072B07Rik	0	0	0	0	0	0	0	0
1700072I22Rik	0	0	0	0	0	0	0	0
1700072O05Rik	0	0	0	0	0	0	0	0
1700073E17Rik	0	0	0	0	0	0	0	0
1700074H08Rik	0	0	0	0	0	0	0	0
1700074P13Rik	0	0	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0	0	0
1700080G11Rik	0	0	0	0	0	0	0	0
1700080G18Rik	33	71	31	48	27	31	46	20
1700080N15Rik	0	0	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0	0	0
1700081B01Rik	0	0	0	0	0	0	0	0
1700081H04Rik	0	0	0	0	0	0	0	0
1700083H02Rik	0	0	0	0	0	0	0	0
1700084D21Rik	0	0	0	0	0	0	0	0
1700084E18Rik	24	23	25	19	18	22	19	32
1700084F23Rik	0	0	0	0	0	0	0	0
1700084J12Rik	0	0	2	1	0	0	0	0
1700084M14Rik	0	0	0	0	0	0	0	0
1700085C21Rik	0	0	0	0	0	0	0	0
1700086D15Rik	0	0	0	0	0	0	0	0
1700086L19Rik	0	0	0	0	0	0	0	0
1700086O06Rik	48	27	23	35	48	27	41	36
1700086P04Rik	2	0	0	2	1	0	2	3
1700087I21Rik	45	66	58	51	53	47	45	57
1700087M22Rik	4	0	7	1	0	0	3	0
1700088E04Rik	1	4	2	2	7	0	4	2
1700091H14Rik	0	0	0	0	0	0	0	0
1700092C02Rik	0	0	0	0	0	0	0	0
1700092C10Rik	0	0	0	0	0	0	0	0
1700092E19Rik	0	0	0	0	0	0	0	0
1700092K14Rik	0	0	0	0	0	0	0	0
1700092M07Rik	4	5	0	3	5	5	4	1
1700093K21Rik	0	0	0	0	0	0	0	0
1700094D03Rik	167	224	296	215	240	134	182	160
1700094J05Rik	2	0	2	0	2	5	0	3
1700094M23Rik	0	2	3	0	0	1	0	0
1700094M24Rik	0	0	0	0	0	0	0	0
1700095A13Rik	0	0	0	0	0	0	0	0
1700095A21Rik	0	0	0	0	0	0	0	0
1700095B10Rik	0	0	0	0	0	0	0	0
1700095J03Rik	0	0	0	0	4	0	0	4
1700095J12Rik	1	3	2	4	1	2	0	0
1700096J18Rik	1	1	3	2	1	3	8	2
1700096K18Rik	131	139	142	160	79	118	172	163
1700096P03Rik	0	0	0	0	0	0	0	0
1700097N02Rik	209	233	259	238	98	140	327	280
1700099I09Rik	2	4	0	1	1	0	5	2
1700100I10Rik	0	0	0	0	0	0	0	0
1700100L14Rik	0	0	0	0	0	0	0	0
1700101G07Rik	0	0	0	0	0	0	0	0
1700101I11Rik	17	13	14	16	16	25	20	16
1700101O22Rik	0	0	0	0	0	0	0	0
1700102H20Rik	21	18	16	36	16	13	40	32
1700102J08Rik	0	0	0	0	0	0	0	0
1700102P08Rik	8	6	14	27	24	13	12	20
1700104L18Rik	0	0	0	0	0	0	0	0
1700105P06Rik	1	4	4	3	0	4	4	0
1700108F19Rik	0	0	2	1	0	0	1	0
1700108J01Rik	0	0	0	0	0	0	0	0
1700108N06Rik	0	0	0	0	0	0	0	0
1700109G14Rik	2	0	0	0	0	0	0	3
1700109G15Rik	0	0	0	0	0	0	0	0
1700109H08Rik	38	32	41	35	46	12	29	14
1700109I08Rik	0	0	0	0	0	0	0	0
1700109K24Rik	2	4	1	0	0	0	0	0
1700110C19Rik	2	4	0	1	2	1	1	1
1700110I01Rik	0	0	0	0	0	0	0	0
1700110I07Rik	0	0	0	0	0	0	0	0
1700110K17Rik	7	5	5	5	0	7	9	6
1700111N16Rik	0	0	0	0	0	0	0	0
1700112D23Rik	0	1	0	2	2	4	0	0
1700112E06Rik	462	441	557	544	387	484	417	543
1700112H15Rik	0	0	0	0	0	0	0	0
1700112J05Rik	0	0	0	0	0	0	0	0
1700112J16Rik	4	3	0	0	11	4	1	1
1700112N08Rik	0	0	0	0	0	0	0	0
1700113A16Rik	89	90	126	124	101	102	118	121
1700113B09Rik	0	0	0	0	0	0	0	0
1700113H08Rik	0	1	3	0	0	0	0	2
1700116B05Rik	0	0	0	0	0	0	0	0
1700116H05Rik	0	0	0	0	0	0	0	0
1700119H24Rik	0	0	0	3	0	0	0	0
1700120C14Rik	12	28	18	14	11	13	17	17
1700120E14Rik	0	0	0	0	0	0	0	0
1700120G07Rik	0	0	0	0	0	0	0	0
1700120K04Rik	15	23	25	19	19	4	16	6
1700121L16Rik	0	0	0	0	0	0	0	0
1700121N20Rik	0	0	0	0	0	0	0	0
1700122C19Rik	0	0	0	0	0	0	0	0
1700122E12Rik	6	6	2	2	0	0	11	6
1700122H20Rik	0	0	0	0	3	0	0	0
1700122O11Rik	0	0	0	0	0	0	0	0
1700123J17Rik	0	0	1	0	0	0	0	0
1700123K08Rik	0	0	0	0	0	0	0	0
1700123L14Rik	0	0	0	0	0	0	0	0
1700123M08Rik	31	32	50	41	47	49	49	52
1700123O12Rik	0	0	0	0	0	0	0	0
1700123O20Rik	1441	1833	1788	1499	1500	1817	2196	1901
1700123O21Rik	0	0	0	0	0	0	0	0
1700124L16Rik	0	1	5	1	1	2	4	3
1700124M09Rik	0	0	0	0	0	0	0	0
1700125G02Rik	0	0	0	0	0	0	0	0
1700125G22Rik	0	0	0	0	0	2	0	0
1700125H03Rik	6	7	3	6	3	0	2	7
1700125H20Rik	6	2	3	7	4	2	5	2
1700126G02Rik	0	0	0	0	0	0	0	0
1700126H18Rik	0	0	0	0	0	0	0	0
1700128A07Rik	0	0	0	0	0	0	0	0
1700128E19Rik	0	0	0	0	0	0	0	0
1700128F08Rik	0	0	0	0	0	0	0	0
1700129C05Rik	0	0	0	0	0	0	0	0
1810006J02Rik	1	3	0	0	2	0	1	1
1810007C17Rik	0	0	0	0	0	0	0	0
1810007D17Rik	0	0	0	0	0	0	0	0
1810008I18Rik	0	0	0	0	0	0	0	0
1810009A15Rik	151	167	249	201	161	196	193	254
1810009J06Rik	0	0	0	0	0	0	0	0
1810010D01Rik	4	0	0	7	3	2	0	0
1810010H24Rik	100	184	216	146	130	128	80	103
1810011H11Rik	414	559	589	662	390	583	469	475
1810011O10Rik	5	0	9	0	4	7	0	2
1810012K16Rik	2	13	0	0	2	2	4	4
1810013A23Rik	0	0	0	0	0	0	0	0
1810013D15Rik	0	0	0	0	0	0	0	0
1810013L24Rik	1340	1339	1356	901	1307	1490	1539	1930
1810014B01Rik	313	309	543	399	361	334	489	465
1810018F18Rik	0	0	0	0	0	0	0	0
1810019D21Rik	2	3	1	6	4	1	2	3
1810019N24Rik	16	25	70	27	17	17	41	48
